order_number,date,price,quantity,product_id,SKU,canceled,"""-S""","""-M""",-L,-XL,-XXL,TEM,TEH,TAM,TAH,CAA,CAS,HOP,HOZ,SHT,SHF,SHR,SHC,COT,COP,TEK,TAK,TEI,TAI,ACC,POL,CAP,JOG,POL,TAP,,Types ,,,,,,,,,
P046235,15/08/2017,53.63,1.00,95,MS135-TAK-BK-S,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS221-TEK-WH-XL,,,,,,,
P046235,16/08/2017,53.63,1.00,96,MS135-TAK-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS221-TEK-WH-XXL,,,,,,,
P046235,16/08/2017,53.63,1.00,97,MS135-TAK-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS245-TAK-BK-S,,,,,,,
P046235,17/08/2017,62.72,1.00,98,MS015-TEH-GY-XXL,FALSE,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS245-TAK-BK-M,,,,,,,
P046235,17/08/2017,53.63,1.00,99,MS245-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS245-TAK-BK-L,,,,,,,
P046235,17/08/2017,53.63,1.00,100,MS245-TAK-BK-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS245-TAK-BK-XL,,,,,,,
P046235,18/08/2017,99.09,1.00,101,MS290-JOG-BK-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,MS245-TAK-BK-XXL,,,,,,,
P046235,19/08/2017,53.63,1.00,102,MS246-TAK-OL-M,FALSE,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS247-TAK-WH-S,,,,,,,
RTS012752,16/07/2017,62.72,1,103,MS155-SHT-GY-XL,FALSE,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS247-TAK-WH-M,,,,,,,
RTS012752,16/07/2017,62.72,1,104,MS155-SHT-GY-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,MS247-TAK-WH-L,,,,,,,
RTS012752,23/07/2017,53.63,1,105,MS230-TAK-WH-L,FALSE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,MS247-TAK-WH-XL,,,,,,,
